Yoga_1,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,640,483,632,482,644,483,8.062257748,94.6251615,4,97.33333333,,,,,,,,,,,,,,,,,,
,Left Shoulder,575,541,587,553,593,550,16.97056275,88.6862915,20.1246118,86.58359214,,,,,,,,,,,,,,,,,,
,Right Shoulder,601,553,586,539,602,555,20.51828453,86.32114365,2.236067977,98.50928802,,,,,,,,,,,,,,,,,,
,Left Elbow,646,628,603,631,603,629,43.10452412,71.26365058,43.01162634,71.32558244,,,,,,,,,,,,,,,,,,
,Right Elbow,638,641,641,629,638,641,12.36931688,91.75378875,0,100,,,,,,,,,,,,,,,,,,
,Left Wrist,696,726,666,699,650,704,40.36087214,73.09275191,50.99019514,66.00653658,,,,,,,,,,,,,,,,,,
,Right Wrist,694,704,695,702,692,713,2.236067977,98.50928802,9.219544457,93.85363703,,,,,,,,,,,,,,,,,,
,Left Hip,524,678,528,684,512,696,7.211102551,95.1925983,21.63330765,85.5777949,,,,,,,,,,,,,,,,,,
,Right Hip,474,668,480,683,471,693,16.15549442,89.22967039,25.17935662,83.21376225,,,,,,,,,,,,,,,,,,
,Left Knee,638,742,628,750,641,737,12.80624847,91.46250102,5.830951895,96.11269874,,,,,,,,,,,,,,,,,,
,Right Knee,356,797,331,794,361,794,25.17935662,83.21376225,5.830951895,96.11269874,,,,,,,,,,,,,,,,,,
,Left Ankle,626,875,621,885,631,882,11.18033989,92.54644008,8.602325267,94.26511649,,,,,,,,,,,,,,,,,,
,Right Ankle,238,875,225,880,237,880,13.92838828,90.71440782,5.099019514,96.60065366,,,,,,,,,,,,,,,,,,
Yoga_2,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,516,412,516,403,523,415,9,94,7.615773106,94.92281793,,,,,,,,,,,,,,,,,,
,Left Shoulder,462,451,481,462,475,469,21.9544984,85.36366773,22.20360331,85.19759779,,,,,,,,,,,,,,,,,,
,Right Shoulder,552,511,534,484,539,491,32.44996148,78.36669235,23.85372088,84.09751941,,,,,,,,,,,,,,,,,,
,Left Elbow,486,360,491,366,491,374,7.810249676,94.79316688,14.86606875,90.0892875,,,,,,,,,,,,,,,,,,
