S.NO,YOLOv7 Pose,MediaPipe
1,6.12,25.23
2,7.91,28.85
3,8.92,31.32
4,7.74,28.49
5,8.55,26.58
6,7.93,29.92
7,8.03,28.91
8,8.93,29.11
9,9.41,32.76
10,8.04,31.76
11,8.96,32.03
12,9.09,32.5
13,8.01,31.8
14,8.92,31.55
15,8.35,27.74
16,8.17,29.69
17,7.83,29.29
18,9.16,28.24
19,8.57,27.26
20,8.32,28.11
21,8.82,27.93
22,8.31,27.1
23,8.63,26.55
24,8.63,28.91
25,8.73,27.95
26,7.04,27.3
27,7.76,29.64
28,7.14,32.19
29,8.8,28.29
30,7.55,28.64
31,8.61,32.76
32,7.06,27.77
33,8.12,29.63
34,8.65,24.63
35,7.96,26.8
36,8.18,26.88
37,8.85,28.83
38,8.07,31.96
39,7.76,32.62
40,8.49,29.56
41,8.14,29.93
42,8.76,31.11
43,8.64,32.32
44,7.15,27.1
45,7.24,29.81
46,7.82,28.89
47,8.21,27.51
48,8.39,26.94
49,8.71,32.59
50,8.19,28.43
51,7.05,29.48
52,8.87,27.86
53,8.17,30.28
54,7.4,28.28
55,7.86,28.73
56,8.27,28.36
57,7.14,29.25
58,7.24,30.58
59,8.87,28.11
60,8.15,27.15
61,8.55,28.9
62,7.14,31.83
63,7.47,32.31
64,7.55,30.07
65,8.92,29.34
66,8.48,32.02
67,8.85,27.55
68,8.1,32.62
69,8.75,29.43
70,8.79,31.6
71,8.12,30.25
72,8.75,28.94
73,7.17,28.98
74,8,29.72
75,7.15,28.49
76,8.36,27.48
77,9.07,29.48
78,8.62,32.05
79,7.99,27.8
80,7.2,32.63
81,8.52,27.59
82,8.72,28.63
83,8.83,30.25
84,8.04,28.74
85,9.04,25.72
86,8.49,29.69
87,7.97,25.71
88,7.76,25.9
89,8.92,25.14
90,7.13,28.17
91,8.31,27.71
92,8.65,25.77
93,9.11,29.53
94,8.49,30.61
95,9.18,28.69
96,7.28,31.67
97,7.98,27.4
98,8.46,31.96
99,8.44,28.63
100,8.84,32.45
Mean,8.2158,29.2124
