Nose,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,94.6251615,97.33333333
Yoga_2,94,94.92281793
Yoga_3,59.4482498,87.98149575
Yoga_4,94.3039975,94.3039975
Yoga_5,94.79316688,96.66666667
Yoga_6,98.50928802,93.20130732
Yoga_7,95.94482498,98.50928802
Yoga_8,97.01857603,99.05719096
Yoga_9,85.09288015,91.56725957
Yoga_10,93.30008292,96.40989013
,,
,,
Left Shoulder,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,73.66846105,86.58359214
Yoga_2,87.20693411,85.19759779
Yoga_3,67.93063074,87.59928317
Yoga_4,73.9914544,94
Yoga_5,86.9020782,95.94482498
Yoga_6,72.92807933,93.33333333
Yoga_7,78.81300189,97.17157288
Yoga_8,84.09751941,96.11269874
Yoga_9,88.66666667,83.02943725
Yoga_10,81.88922972,87.76162683
,,
Right Shoulder,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Left Elbow,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Right Elbow,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Left Wrist,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Right Wrist,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Left Hip,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Right Hip,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Left Knee,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
Yoga_6,87.17641063,94.6251615
Yoga_7,91.56725957,95.33333333
Yoga_8,92.54644008,98.66666667
Yoga_9,94.50252583,96.11269874
Yoga_10,98.66666667,91.75378875
,,
Right Knee,,
Image,YOLOv7 Pose,MediaPipe
Yoga_1,86.32114365,98.50928802
Yoga_2,78.36669235,84.09751941
Yoga_3,48.25275101,96.11269874
Yoga_4,70.1857603,79.60392195
Yoga_5,95.52786405,97.59629915
